"","Incident","Location","Reported","Occurred","Comments","Disposition","UCPDI#","latitude","longitude"
"420","Theft","1407 E. 60th St. (CTS)","6/3/14 4:26 PM","6/3/14 12:10 PM to 1:05 PM","Unattended, unsecured laptop taken from desk in unsecured room 222","Open","D00518",41.786022,-87.591221
"421","Possession of Cannabis","3900 S. Lake Park","6/3/14 10:27 PM","6/3/14 10:27 PM","Subsequent to a traffic stop UCPD officers arrested a motorist for possession of cannabis / Suspect also found in possession of property taken in a robbery in Bolingbrook, IL / Turned over to Bolingbrook PD","Arrest","D00519",41.824976,-87.603892
"422","Theft","915 E. 60th St. (Logan Center Bike Rack)","6/2/14 12:22 AM","6/1/14 to 6/2/14 10:00 AM to 12:15 AM","Unsecured bicycle taken from bike rack","Open","D00511",41.031612,-89.405452
"423","Aggravated Battery to Police Officer","901 E. 58th St. (Mitchell ER)","6/2/14 12:14 AM","6/2/14 12:14 AM","Unruly, combative patient physically assaulted a UCPD officer resulting in an injury","Arrest","D00512",41.912085,-87.640506
"424","Possession of Cannabis","1407 E. 53rd St.","6/2/14 9:24 PM","6/2/14 9:23 PM","Subsequent to a traffic stop, UCPD officers arrested a passenger for possession of cannabis","Arrest","D00513",41.799439,-87.591596
"425","Criminal Sexual Assault","1101 E. 56th St. (Max Palevsky)","6/2/14 9:27 PM","4/2/14 9:00 PM","Individual provided information to UCPD regarding a sex related incident that occurred with a friend on 4/2/14 / Declined medical examination / Victim declined to pursue prosecution","Ex. Cleared","D00514",41.793162,-87.599087
"426","Information","5625 S. University (Fraternity House)","6/1/14 1:15 PM","6/1/14 1:15 PM","Safety concern of hammock being used on second floor exterior landing / Hammock removed","Closed","D00510",41.792803,-87.598035
"427","Battery","1554 E. 55th St. (Parking Lot)","5/31/14 10:28 PM","5/31/14 10:25 PM","Individuals were involved in a physical altercation off campus / Victim was sprayed with a chemical substance / Suspect arrested by UCPD","Arrest","D00509",41.795312,-87.588667
"428","Lost Property","924 E. 57th St. (BSLC)","5/30/14 11:40 AM","5/22/14 to 5/23/14 8:00 PM to 12:30 PM","Individual reported losing cell phone at the BSLC","Closed","D00503",41.791443,-87.603431
"429","Battery (Domestic)","5815 S. Maryland (Mitchell Hospital)","5/30/14 11:53 AM","5/30/14 11:50 AM","Parents of patient involved in a domestic argument that resulted in physical contact by both parties / Both parties refused medical attention and declined to sign complaints","Ex. Cleared","D00504",41.789267,-87.604888
"430","Lost Property","57th & Ellis to 54th & Ingleside","5/30/14 1:53 PM","5/29/14 7:10 PM to 7:30 PM","Individual reports losing wallet between 57th & Ellis and 54th & Ingleside","Closed","D00505",42.373157,-88.14978
"431","Burglary","5631 S. Maryland (Construction Site)","5/30/14 2:23 PM","5/29/14 to 5/30/14 5:00 PM to 6:00 AM","Unknown person(s) gained entry to secured construction site, cut locks and took various construction tools and equipment from secured storage containers","Open","D00506",41.792614,-87.604894
"432","Non-Criminal Damage to Property","970 E. 60th St.","5/30/14 5:00 PM","5/30/14 4:55 PM","Park District riding lawn mower struck parked vehicle causing damage to right side","Closed","D00507",41.785994,-87.6021
"433","Warrant Arrest","5301 S. Cottage Grove","5/30/14 6:09 PM","5/30/14 6:09 PM","UCPD officers arrested an individual wanted for probation violation from Cook County, IL","Arrest","D00508",41.798612,-87.606318
"434","Theft from Motor Vehicle","1353 E. 54th St.","5//29/14 1:20 AM","5/29/14 1:20 AM","UCPD officers arrested an individual for taking property from a vehicle parked on the street / Charged with felony burglary of a motor vehicle","Arrest","D00499",41.797959,-87.592888
"435","Warrant Arrest","5100 S. University","5/29/14 2:30 PM","5/29/14 2:30 PM","Subsequent to a traffic stop, UCPD officer arrested a motorist for a warrant from Cook County","Arrest","D00500",41.802349,-87.598247
"436","Arson by Fire","5730 S. Drexel (Comer Hospital)","5/29/14 3:13 PM","5/29/14 3:00 PM","Fire in 1st floor washroom paper towel dispenser extinguished by CFD / Pre-teen child held for psychological examination at hospital / No injuries reported","Ex. Cleared","D00501",41.790787,-87.603729
"437","Information","5115 S. Ellis","5/29/14 9:05 PM","5/29/14 9:05 PM","Unknown suspect took a cell phone from a victim walking on the sidewalk / CPD case","CPD","D00502",41.80211,-87.601287
"438","Information / Elevator Entrapment","5706 S. University (Reynolds Club)","5/28/14 1:13 AM","5/28/14 1:13 AM","CFD freed contract employee from stuck elevator","Closed","D00493",41.791316,-87.598148
"439","Theft","970 E. 58th St. (Bookstore)","5/28/14 8:40 AM","5/28/14 8:40 AM to 9:05 AM","Subject took several items from bookstore without paying / Arrested by UCPD officer after a brief foot chase","Arrest","D00494",41.789544,-87.603363
"440","Accidental Injury","5550 S. Greenwood (Smart Museum)","5/28/14 1:04 PM","5/28/14 11:55 AM","Child playing in courtyard fell injuring wrist / Parent took custody of child","Closed","D00495",41.794111,-87.599838
"441","Theft","1100 E. 57th St. (Regenstein Library)","5/28/14 3:42 PM","5/28/14 1:40 PM to 1:45 PM","Individual reported bag containing laptop and other items was taken by an unknown person / Complainant located property / Case unfounded","Unfounded","D00496",41.791492,-87.599098
"442","Criminal Damage to Property","5482 S. Greenwood (Neighborhood Apts)","5/28/14 3:23 PM","5/27/14 to 5/28/14 1:00 PM to 8:30 AM","Unknown person pried open mailboxes located in the building lobby","Open","D00497",41.795525,-87.599726
"443","Traffic Violation / DUI","6000 S. Cottage Grove","5/28/14 11:09 PM","5/28/14 11:09 PM","UCPD officer arrested a motorist for driving under the influence / Charged with Felony DUI","Arrest","D00498",41.785314,-87.60611
